category_id,category_group,category_desc
56aa371be4b08b9a8d5734db,Arts & Culture,Amphitheater
4fceea171983d5d06c3e9823,Entertainment,Aquarium
4bf58dd8d48988d1e1931735,Entertainment,Arcade
4bf58dd8d48988d1e2931735,Arts & Culture,Art Gallery
4bf58dd8d48988d1e4931735,Sports,Bowling Alley
4bf58dd8d48988d17c941735,Entertainment,Casino
52e81612bcbc57f1066b79e7,Entertainment,Circus
4bf58dd8d48988d18e941735,Arts & Culture,Comedy Club
5032792091d4c4b30a586d5c,Arts & Culture,Concert Hall
52e81612bcbc57f1066b79ef,Entertainment,Country Dance Club
52e81612bcbc57f1066b79e8,Entertainment,Disc Golf
56aa371be4b08b9a8d573532,Arts & Culture,Exhibit
4bf58dd8d48988d1f1931735,Entertainment,General Entertainment
52e81612bcbc57f1066b79ea,Entertainment,Go Kart Track
4deefb944765f83613cdba6e,Arts & Culture,Historic Site
5744ccdfe4b0c0459246b4bb,Entertainment,Karaoke Box
52e81612bcbc57f1066b79e6,Entertainment,Laser Tag
5642206c498e4bfca532186c,Arts & Culture,Memorial Site
52e81612bcbc57f1066b79eb,Entertainment,Mini Golf
4bf58dd8d48988d17f941735,Entertainment,Movie Theater
56aa371be4b08b9a8d5734de,Entertainment,Drive-in Theater
4bf58dd8d48988d17e941735,Entertainment,Indie Movie Theater
4bf58dd8d48988d180941735,Entertainment,Multiplex
4bf58dd8d48988d181941735,Arts & Culture,Museum
4bf58dd8d48988d18f941735,Arts & Culture,Art Museum
559acbe0498e472f1a53fa23,Arts & Culture,Erotic Museum
4bf58dd8d48988d190941735,Arts & Culture,History Museum
4bf58dd8d48988d192941735,Arts & Culture,Planetarium
4bf58dd8d48988d191941735,Arts & Culture,Science Museum
4bf58dd8d48988d1e5931735,Entertainment,Music Venue
4bf58dd8d48988d1e7931735,Entertainment,Jazz Club
4bf58dd8d48988d1e8931735,Entertainment,Piano Bar
4bf58dd8d48988d1e9931735,Entertainment,Rock Club
4bf58dd8d48988d1f2931735,Arts & Culture,Performing Arts Venue
4bf58dd8d48988d134941735,Arts & Culture,Dance Studio
4bf58dd8d48988d135941735,Arts & Culture,Indie Theater
4bf58dd8d48988d136941735,Arts & Culture,Opera House
4bf58dd8d48988d137941735,Arts & Culture,Theater
4bf58dd8d48988d1e3931735,Entertainment,Pool Hall
507c8c4091d498d9fc8c67a9,Arts & Culture,Public Art
52e81612bcbc57f1066b79ed,Arts & Culture,Outdoor Sculpture
52e81612bcbc57f1066b79ee,Arts & Culture,Street Art
56aa371be4b08b9a8d573514,Sports,Racecourse
4bf58dd8d48988d1f4931735,Sports,Racetrack
52e81612bcbc57f1066b79e9,Sports,Roller Rink
52e81612bcbc57f1066b79ec,Entertainment,Salsa Club
56aa371be4b08b9a8d5734f9,Entertainment,Samba School
4bf58dd8d48988d184941735,Sports,Stadium
